rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/kl_divergence_loss,train/policy_objective,train/n_updates,train/learning_rate,train/is_line_search_success,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
370.53,6180,157,475,126.26622698000001,972800,0.008258849382400513,0.004214057698845863,474,0.001,1.0,58.51088252067566,0.858037605881691,,
399.61,6194,157,476,122.21544288000001,974848,0.0064778500236570835,0.010223880410194397,475,0.001,1.0,64.00606396198273,0.9238895252346992,,
399.65,6201,157,477,122.58005340999998,976896,0.0056214723736047745,0.009182796813547611,476,0.001,1.0,7.589449949190021,0.9373423904180527,,
408.01,6208,157,478,120.23924541000001,978944,0.008106711320579052,0.014844989404082298,477,0.001,1.0,54.06110337972641,0.9050708562135696,,
406.46,6216,157,479,125.71739059,980992,0.007928574457764626,0.01255018264055252,478,0.001,1.0,86.5239040851593,0.8976286575198174,,
398.71,6226,157,480,130.53695094,983040,0.004260328598320484,0.008633781224489212,479,0.001,1.0,129.410312128067,0.7022251486778259,,
398.08,6235,157,481,130.56407798,985088,0.0056006270460784435,0.00401360634714365,480,0.001,1.0,54.11852802634239,0.9247294440865517,,
414.84,6248,157,482,130.30456175,987136,0.003855667309835553,0.010559982620179653,481,0.001,1.0,54.42440454661846,0.9042629823088646,,
415.46,6256,158,483,132.34154046,989184,0.005658647045493126,0.01149747148156166,482,0.001,1.0,28.441059347987174,0.9580203481018543,,
443.3,6269,158,484,125.89338468999999,991232,0.004865635652095079,0.0024489061906933784,483,0.001,1.0,35.616238611936566,0.9627587087452412,,
439.79,6276,158,485,139.14395412000002,993280,0.006580661982297897,0.015429014340043068,484,0.001,1.0,2.501725737005472,0.9946646941825747,,
439.79,6286,158,486,139.14395412000002,995328,0.0037562395446002483,0.008747238665819168,485,0.001,1.0,62.55541950464249,0.7639686763286591,,
454.98,6296,158,487,138.77587438,997376,0.007516745012253523,0.008129129186272621,486,0.001,1.0,3.6463289139792323,0.8754322454333305,,
454.98,6305,158,488,138.77587438,999424,0.008856363594532013,0.016125258058309555,487,0.001,1.0,51.29307517409325,0.9225740134716034,,
,,,,,1000000,0.00948204006999731,0.027809161692857742,488,0.001,1.0,4.1013554812408985,-0.0026466846466064453,193.4,160.12467271279007
454.88,6313,158,489,152.81174047,1001472,,,,,,,,,
454.93,6319,158,490,158.1330725,1003520,0.004491960164159536,0.009058387018740177,489,0.001,1.0,43.072995418310164,0.8607896566390991,,
451.11,6326,158,491,156.46938214000002,1005568,0.005776537582278252,0.010514965280890465,490,0.001,1.0,157.77244939804078,0.807111382484436,,
452.25,6334,159,492,159.16289952,1007616,0.007042624056339264,0.010958261787891388,491,0.001,1.0,206.2679097890854,0.7167856991291046,,
450.33,6345,159,493,152.5059908,1009664,0.008157390169799328,0.008854459971189499,492,0.001,1.0,14.539423877000809,0.98071507550776,,
448.93,6355,159,494,153.18649516,1011712,0.009360377676784992,0.01828143000602722,493,0.001,1.0,31.545173297822476,0.916042372584343,,
423.38,6363,159,495,156.42545101,1013760,0.0038987731095403433,0.02090427279472351,494,0.001,1.0,9.458187954127789,0.9676193445920944,,
383.6,6369,159,496,158.52116136000004,1015808,0.006179649382829666,0.02077801711857319,495,0.001,1.0,154.73440206050873,0.8256900608539581,,
382.57,6378,159,497,156.22153476000003,1017856,0.008275138214230537,0.010824142955243587,496,0.001,1.0,134.50438989400863,0.7845398187637329,,
399.19,6387,159,498,152.35578863,1019904,0.004265044815838337,0.026873786002397537,497,0.001,1.0,13.233418806642295,0.9622794948518276,,
398.48,6397,159,499,152.89906262,1021952,0.0062127020210027695,0.010825568810105324,498,0.001,1.0,136.22874393463135,0.8693007081747055,,
409.92,6409,159,500,153.83754439000003,1024000,0.009749097749590874,0.013312172144651413,499,0.001,1.0,13.402412209659815,0.844594195485115,,
384.03,6416,159,501,164.30016158,1026048,0.007626871578395367,0.0046551963314414024,500,0.001,1.0,59.74447413086891,0.8579003810882568,,
352.39,6424,160,502,164.53903394999998,1028096,0.007336966227740049,0.009715534746646881,501,0.001,1.0,132.59859812259674,0.8837178871035576,,
303.33,6432,160,503,167.77389824000002,1030144,0.00881759263575077,0.0137544646859169,502,0.001,1.0,109.4149885892868,0.8577577769756317,,
316.24,6447,160,504,165.83513328,1032192,0.005122614558786154,0.012190645560622215,503,0.001,1.0,98.81723812818527,0.8447529375553131,,
315.94,6455,160,505,165.86749174999997,1034240,0.00688263401389122,0.011715509928762913,504,0.001,1.0,39.9616602897644,0.8972229957580566,,
344.26,6465,160,506,162.87258963000002,1036288,0.005322037730365992,0.024675022810697556,505,0.001,1.0,13.411102546751499,0.8593712747097015,,
357.39,6474,160,507,159.73643231000003,1038336,0.007467720657587051,0.014058655127882957,506,0.001,1.0,39.49504398405552,0.9502164237201214,,
365.64,6482,160,508,169.07113101999997,1040384,0.008567871525883675,0.011868457309901714,507,0.001,1.0,60.37763702869415,0.9043207541108131,,
