train/delta_std,train/iterations,rollout/return_std,rollout/ep_rew_mean,rollout/ep_len_mean,train/step_size,train/learning_rate,time/total_timesteps,time/time_elapsed,time/fps,eval/mean_ep_length,eval/mean_reward
0.05,136,53.58824920654297,-136.8862348125,73.3125,4.6652017772430554e-05,0.02,153350,206,742,,
0.05,137,184.95217895507812,-166.61772706249997,76.125,1.351700757368235e-05,0.02,154568,208,740,,
0.05,138,39.45490264892578,-129.7737945625,71.625,6.336347723845392e-05,0.02,155714,210,738,,
0.05,139,74.36573028564453,-111.8623190625,78.375,3.361763447173871e-05,0.02,156968,212,738,,
0.05,140,88.11005401611328,-130.4900965,71.125,2.8373606255627237e-05,0.02,158106,213,739,,
0.05,141,112.5876235961914,-143.909214625,70.3125,2.220492751803249e-05,0.02,159231,214,740,,
0.05,142,36.811031341552734,-123.3771774375,72.0,6.791442137910053e-05,0.02,160383,216,741,,
0.05,143,74.57477569580078,-130.944959125,75.625,3.352339626871981e-05,0.02,161593,218,741,,
0.05,144,54.35310363769531,-135.205878625,68.75,4.599553358275443e-05,0.02,162693,219,742,,
0.05,145,26.76899528503418,-135.911419625,70.5625,9.339163079857826e-05,0.02,163822,220,744,,
0.05,146,39.09535598754883,-127.16125087500001,65.625,6.394621595973149e-05,0.02,164872,221,745,,
0.05,147,45.68083953857422,-122.6720338125,75.3125,5.472754128277302e-05,0.02,166077,222,747,,
0.05,148,41.91051483154297,-136.97362900000002,72.125,5.9650901675922796e-05,0.02,167231,223,747,,
0.05,149,45.454715728759766,-129.0965816875,71.6875,5.499979306478053e-05,0.02,168378,225,747,,
0.05,150,54.11016082763672,-115.721536875,73.1875,4.620203981176019e-05,0.02,169549,226,748,,
0.05,151,65.11305236816406,-143.90836825,66.1875,3.8394759030779824e-05,0.02,170608,227,749,,
0.05,152,68.64702606201172,-140.8849349375,70.75,3.6418183299247175e-05,0.02,171740,228,750,,
0.05,153,90.55646514892578,-128.2482095625,72.875,2.7607085939962417e-05,0.02,172906,230,750,,
0.05,154,37.7174072265625,-129.005517,66.1875,6.628238770645112e-05,0.02,173965,231,750,,
0.05,155,71.03823852539062,-134.916319375,78.0,3.5192315408494323e-05,0.02,175213,233,750,,
0.05,156,82.86216735839844,-176.01279674999998,74.1875,3.0170582249411382e-05,0.02,176400,234,750,,
0.05,157,86.58838653564453,-144.6038971875,72.25,2.8872231268906035e-05,0.02,177556,236,751,,
0.05,158,55.04465103149414,-119.8055226875,70.1875,4.541767339105718e-05,0.02,178679,237,751,,
0.05,159,54.54245376586914,-113.63407831250001,71.625,4.5835855416953564e-05,0.02,179825,239,751,,
0.05,160,33.192928314208984,-134.5742001875,70.25,7.531724986620247e-05,0.02,180949,240,752,,
0.05,161,55.19255447387695,-126.93673712500001,71.75,4.529596117208712e-05,0.02,182097,242,752,,
0.05,162,46.183738708496094,-133.5201836875,75.1875,5.4131603974383324e-05,0.02,183300,243,751,,
0.05,163,47.18863296508789,-140.5597600625,66.9375,5.2978859457653016e-05,0.02,184371,245,752,,
0.05,164,92.32563018798828,-141.96098275000003,68.875,2.707807107071858e-05,0.02,185473,246,753,,
0.05,165,51.870792388916016,-107.00430818750002,76.6875,4.8196678108070046e-05,0.02,186700,247,755,,
0.05,166,35.33359909057617,-141.314068,72.5625,7.075418398017064e-05,0.02,187861,248,756,,
0.05,167,50.91374206542969,-144.45370318749997,66.75,4.9102654884336516e-05,0.02,188929,249,757,,
0.05,168,67.72999572753906,-118.90579043749999,69.3125,3.691126767080277e-05,0.02,190038,250,758,,
0.05,169,44.75482177734375,-151.4123284375,70.4375,5.585990220424719e-05,0.02,191165,252,758,,
0.05,170,28.144315719604492,-122.8567483125,68.0625,8.882788097253069e-05,0.02,192254,253,759,,
0.05,171,45.775081634521484,-120.52377024999998,72.375,5.461486580315977e-05,0.02,193412,254,760,,
0.05,172,34.69771194458008,-117.9527620625,71.4375,7.205085421446711e-05,0.02,194555,255,761,,
0.05,173,60.160587310791016,-131.39802456249998,68.0,4.1555445932317525e-05,0.02,195643,256,761,,
0.05,174,61.21800994873047,-159.70568756250003,73.5625,4.0837654523784295e-05,0.02,196820,258,761,,
0.05,175,49.14253234863281,-118.17313181249999,68.1875,5.0872429710580036e-05,0.02,197911,260,759,,
0.05,176,30.139883041381836,-129.5516875625,67.6875,8.294656436191872e-05,0.02,198994,262,759,,
