rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,eval/mean_ep_length,eval/mean_reward
194.23,377,108,40960,20,-100.94057311,176.13058471679688,0.0003,0.066357421875,-0.007240588140848559,0.009112656116485596,-1.0536958931013942,0.2,0.006446191,190,253.15035543441772,,
227.19,402,106,43008,21,-92.71847237,8.376653671264648,0.0003,0.290380859375,-0.016528311633010162,0.13421964645385742,-1.2478965032845735,0.2,0.023007397,200,40.099617218971254,,
237.89,418,107,45056,22,-91.05845942,113.7092056274414,0.0003,0.05283203125,-0.00837066692110966,0.14406931400299072,-1.0959015797823668,0.2,0.00899788,210,122.28317026495934,,
243.13,447,105,47104,23,-89.04392116000001,71.32939147949219,0.0003,0.11201171875,-0.011202094430336729,0.1640353798866272,-1.049401087500155,0.2,0.011036901,220,173.03576068878175,,
272.17,492,99,49152,24,-90.06527094,56.467620849609375,0.0003,0.089404296875,-0.010702804756874684,0.5826952159404755,-1.086995144933462,0.2,0.007565121,230,83.24428687095642,,
279.09,522,97,51200,25,-89.17954077,5.548434257507324,0.0003,0.0966796875,-0.010371213470352813,0.8610748797655106,-1.0265903275460004,0.2,0.01168273,240,12.450688062608242,,
303.71,575,92,53248,26,-87.16476779,57.06399917602539,0.0003,0.079345703125,-0.00794903814821737,0.42831408977508545,-0.9417197396978736,0.2,0.008524675,250,130.72166973352432,,
303.71,605,91,55296,27,-87.16476779,28.78725242614746,0.0003,0.0880859375,-0.010784002432774286,0.2631968855857849,-0.7944240609183908,0.2,0.008055791,260,106.75532572865487,,
339.71,665,86,57344,28,-89.82665356000001,3.818857192993164,0.0003,0.11796875,-0.01360637831967324,0.7645188868045807,-0.8821069108322263,0.2,0.011690219,270,7.937661693990231,,
362.44,688,86,59392,29,-91.26821624,57.36697769165039,0.0003,0.0708984375,-0.007348521349194925,0.20979386568069458,-0.9683681746944786,0.2,0.00951767,280,123.06456205844879,,
376.95,705,87,61440,30,-88.31188215999998,42.919578552246094,0.0003,0.114404296875,-0.006985547772637801,0.04324448108673096,-0.7827733907848596,0.2,0.030449364,290,113.60659509003162,,
362.51,743,85,63488,31,-90.09555033000001,65.01026153564453,0.0003,0.0337890625,-0.005755214398959652,0.21437424421310425,-0.8796665413305164,0.2,0.0054710936,300,159.42618516683578,,
380.71,758,86,65536,32,-89.41133195000002,54.667850494384766,0.0003,0.064892578125,-0.0061354685414698905,0.1362350583076477,-1.1027707267552613,0.2,0.0069077224,310,146.2132863163948,,
393.92,775,87,67584,33,-86.13060447,13.485934257507324,0.0003,0.06552734375,-0.006860882422915893,0.35305702686309814,-0.8142624378204346,0.2,0.007956878,320,127.968962931633,,
415.19,795,87,69632,34,-92.70895063,51.960784912109375,0.0003,0.069140625,-0.005503332702210173,0.19966667890548706,-0.9923662362620235,0.2,0.0070914715,330,155.47686958312988,,
429.47,824,86,71680,35,-92.04902528999999,33.47079849243164,0.0003,0.168310546875,-0.013234735309379176,0.09070765972137451,-1.0546490028500557,0.2,0.015313722,340,137.33593789339065,,
448.72,838,87,73728,36,-90.68355019,89.38270568847656,0.0003,0.096533203125,-0.008302834710048047,0.30592381954193115,-0.9867394495755434,0.2,0.011560313,350,110.68811753988265,,
462.86,852,88,75776,37,-86.29043746,108.50914001464844,0.0003,0.10517578125,-0.007567327727156225,0.5576581060886383,-0.7999945813789964,0.2,0.012481032,360,114.44839672446251,,
478.37,868,89,77824,38,-82.36108871999998,58.575199127197266,0.0003,0.07705078125,-0.005304194588825339,0.5412323474884033,-0.9457099860534072,0.2,0.0076476634,370,119.67077501416206,,
496.94,896,89,79872,39,-84.28350701000001,56.66006851196289,0.0003,0.082373046875,-0.005928397220850456,0.692913293838501,-0.9675248442217708,0.2,0.006943914,380,81.36989248991013,,
515.98,914,89,81920,40,-83.90260100000002,22.015783309936523,0.0003,0.065283203125,-0.011644151985092322,0.4034176468849182,-0.9932958450168371,0.2,0.006215168,390,133.05176683664322,,
532.69,935,89,83968,41,-84.73219205999997,67.53550720214844,0.0003,0.072998046875,-0.0032145055956789292,0.6942346096038818,-0.9955807873979211,0.2,0.007023052,400,78.52064961791038,,
552.06,951,90,86016,42,-85.01648029,27.206254959106445,0.0003,0.0458984375,-0.002772855517832795,0.6234891712665558,-0.926546011120081,0.2,0.00499162,410,92.69931728243827,,
552.06,981,89,88064,43,-85.01648029,54.12904357910156,0.0003,0.052197265625,-0.005235068783804309,0.5990968346595764,-0.9514678452163935,0.2,0.0074033453,420,121.20908414125442,,
580.51,1007,89,90112,44,-86.3769725,1.6114099025726318,0.0003,0.273388671875,-0.01214810681558447,0.9143981114029884,-0.8088627018034458,0.2,0.023041325,430,4.980847994238138,,
606.24,1041,88,92160,45,-82.76165176,1.6744874715805054,0.0003,0.0986328125,-0.007221485192712862,0.9304133579134941,-0.8718503156676889,0.2,0.016475504,440,4.3295662760734555,,
616.53,1089,86,94208,46,-81.86788801,80.35429382324219,0.0003,0.038134765625,-0.002709379657608224,0.5998159348964691,-0.9119812557473779,0.2,0.006873578,450,74.67596138119697,,
632.11,1118,86,96256,47,-85.51406777000003,6.342491149902344,0.0003,0.095703125,-0.004947944566811202,0.7461992502212524,-0.9817047979682684,0.2,0.0073217414,460,40.39583630263805,,
660.89,1155,85,98304,48,-89.51019993999998,6.96801233291626,0.0003,0.143798828125,-0.005322031572723063,0.18899405002593994,-1.0207322293892502,0.2,0.010665855,470,33.71073894798756,,
