rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
0.05,7320,74.71760487000002,132,921.46,2264,972761,230690,0.0001,2.8588826656341553,,
0.05,7334,76.92937467,133,915.1,2268,975484,231370,0.0001,0.837487518787384,,
0.05,7352,77.93578134,133,914.82,2272,978894,232223,0.0001,0.49864229559898376,,
0.05,7376,76.54639552,133,927.55,2276,983147,233286,0.0001,0.47643280029296875,,
0.05,7408,74.01534668000001,133,937.21,2280,988738,234684,0.0001,1.3147772550582886,,
0.05,7426,71.24798041,133,940.59,2284,991990,235497,0.0001,0.2903587818145752,,
0.05,7441,73.76131124,133,942.63,2288,995045,236261,0.0001,0.46409133076667786,,
0.05,7457,75.92649972999999,133,942.41,2292,998072,237017,0.0001,2.393353223800659,,
0.05,,,,,,1000000,237499,0.0001,0.5831804275512695,556.2,194.74586721102727
0.05,7483,78.92344170000001,133,940.93,2296,1001566,237891,0.0001,0.5065550804138184,,
0.05,7499,84.89414189000003,133,920.28,2300,1004243,238560,0.0001,0.6374409794807434,,
0.05,7513,90.77629019,134,901.1,2304,1006991,239247,0.0001,0.25428158044815063,,
0.05,7527,89.11817013999999,134,900.42,2308,1009753,239938,0.0001,0.5754250884056091,,
0.05,7554,85.28512810000001,134,915.3,2312,1014082,241020,0.0001,0.3758113980293274,,
0.05,7566,91.18646552999999,134,889.53,2316,1016492,241622,0.0001,2.4521918296813965,,
0.05,7586,97.31949121,134,871.72,2320,1020223,242555,0.0001,0.8852273225784302,,
0.05,7598,105.26504338999999,134,848.35,2324,1022700,243174,0.0001,3.150831460952759,,
0.05,7621,113.73729476,134,836.81,2328,1026157,244039,0.0001,0.562077522277832,,
0.05,7639,118.72806316999998,134,833.69,2332,1028623,244655,0.0001,0.38102543354034424,,
0.05,7664,118.42856582999998,134,841.92,2336,1032859,245714,0.0001,0.2812526822090149,,
0.05,7685,119.57849003000003,134,830.03,2340,1036567,246641,0.0001,0.7240521907806396,,
0.05,7703,120.50917850000002,135,837.25,2344,1040111,247527,0.0001,3.417907238006592,,
0.05,7714,123.73727077000001,135,824.86,2348,1042602,248150,0.0001,1.296757459640503,,
0.05,7728,126.24270554,135,814.73,2352,1045049,248762,0.0001,1.1522104740142822,,
0.05,7740,129.14188826,135,817.91,2356,1047607,249401,0.0001,1.0325199365615845,,
0.05,7752,131.82039591999998,135,803.24,2360,1049930,249982,0.0001,0.37852686643600464,,
0.05,7765,132.85720829,135,801.42,2364,1052903,250725,0.0001,0.6124853491783142,,
0.05,7777,129.82508441,135,797.4,2368,1055224,251305,0.0001,0.9791613817214966,,
0.05,7787,131.82647027,135,783.99,2372,1057293,251823,0.0001,0.7681813836097717,,
0.05,7810,129.23850662,135,782.89,2376,1061436,252858,0.0001,2.435976266860962,,
0.05,7827,133.17105421999997,136,757.58,2380,1064496,253623,0.0001,0.36896541714668274,,
0.05,7840,137.29443701999998,136,749.51,2384,1066941,254235,0.0001,3.2199649810791016,,
0.05,7860,133.69300385,136,754.73,2388,1070518,255129,0.0001,0.3563339412212372,,
0.05,7869,136.53278863000003,136,744.87,2392,1072559,255639,0.0001,6.181891441345215,,
0.05,7882,135.90550823,136,736.08,2396,1075174,256293,0.0001,1.3231233358383179,,
0.05,7897,133.9688793,136,735.09,2400,1077752,256937,0.0001,0.6258190274238586,,
0.05,7910,134.64376546,136,734.56,2404,1080447,257611,0.0001,1.0102171897888184,,
0.05,7927,132.76376391999997,136,737.93,2408,1083546,258386,0.0001,0.7826685309410095,,
0.05,7941,136.58682249,136,721.63,2412,1086245,259061,0.0001,0.5119077563285828,,
0.05,7953,141.83710900000003,136,721.01,2416,1088593,259648,0.0001,0.33913251757621765,,
0.05,7966,144.98246404000002,136,707.88,2420,1091011,260252,0.0001,0.6483940482139587,,
0.05,7979,144.88449888000002,137,707.16,2424,1093416,260853,0.0001,1.867201805114746,,
0.05,7991,146.54658544000003,137,696.99,2428,1095856,261463,0.0001,1.362969994544983,,
0.05,8003,144.99932433,137,696.65,2432,1098288,262071,0.0001,4.92489767074585,,
0.05,,,,,,1100000,262499,0.0001,1.6359425783157349,732.8,163.91557801281897
0.05,8029,149.12512453,137,685.65,2436,1101424,262855,0.0001,1.6722947359085083,,
0.05,8040,150.84712263,137,672.13,2440,1103780,263444,0.0001,0.4308165907859802,,
0.05,8050,155.47723154000002,137,658.37,2444,1105948,263986,0.0001,0.44995516538619995,,
0.05,8063,154.99919522000002,137,658.12,2448,1108414,264603,0.0001,0.6833693981170654,,
0.05,8078,157.27442437,137,661.74,2452,1111223,265305,0.0001,0.2541179060935974,,
0.05,8091,156.55131715000002,137,661.74,2456,1113781,265945,0.0001,0.40873393416404724,,
0.05,8100,157.09030921,137,657.02,2460,1115632,266407,0.0001,3.2681140899658203,,
0.05,8113,159.97121407,137,652.82,2464,1118185,267046,0.0001,0.4504567086696625,,
0.05,8127,162.94726767,137,657.52,2468,1120976,267743,0.0001,1.6133556365966797,,
0.05,8138,161.69430758000001,138,660.22,2472,1123315,268328,0.0001,0.7871649265289307,,
0.05,8152,170.51068859999995,138,645.53,2476,1125989,268997,0.0001,1.0985206365585327,,
0.05,8164,177.02465782999997,138,638.8,2480,1128376,269593,0.0001,0.7304692268371582,,
0.05,8178,176.21437737999997,138,639.9,2484,1130931,270232,0.0001,0.4785926938056946,,
0.05,8194,179.25767058000002,138,634.08,2488,1133926,270981,0.0001,0.23321296274662018,,
0.05,8208,178.21877109999997,138,638.59,2492,1136418,271604,0.0001,0.48933571577072144,,
0.05,8222,177.89832050999996,138,638.74,2496,1139048,272261,0.0001,0.2509528696537018,,
0.05,8235,178.23824558,138,638.81,2500,1141633,272908,0.0001,3.8537509441375732,,
0.05,8243,179.65683453000003,138,629.68,2504,1143415,273353,0.0001,0.48259595036506653,,
0.05,8253,184.31919951000003,138,619.98,2508,1145544,273885,0.0001,1.4368555545806885,,
