time/time_elapsed,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
12,29473,2430,320,92.03,-197.60929336,0.8600032499999997,,,,,
12,29875,2443,324,92.35,-195.06929912000004,0.8580937499999995,,,,,
12,30265,2453,328,92.68,-195.39058193,0.8562412500000001,,,,,
12,30676,2460,332,92.82,-196.70324412000005,0.8542890000000004,,,,,
12,31036,2468,336,92.65,-194.76069604999998,0.8525789999999998,,,,,
12,31400,2480,340,91.94,-193.70366631999994,0.8508499999999996,,,,,
12,31787,2489,344,92.45,-198.14068187,0.84901175,,,,,
12,32223,2494,348,92.85,-197.90698677,0.8469407499999995,,,,,
13,32588,2502,352,93.46,-202.69534216999998,0.8452069999999997,,,,,
13,32961,2511,356,93.12,-198.80442764,0.84343525,,,,,
13,33320,2519,360,93.57,-195.67985001999998,0.8417299999999999,,,,,
13,33687,2526,364,93.36,-196.30185805000002,0.8399867499999999,,,,,
13,34097,2530,368,94.57,-198.55731702,0.8380392499999998,,,,,
13,34486,2527,372,94.22,-196.30847218999995,0.8361915,,,,,
14,34888,2459,376,95.08,-195.59223164,0.8342819999999999,,,,,
14,35270,2451,380,95.1,-191.62181651999998,0.8324675000000004,,,,,
14,35657,2443,384,95.3,-188.3761163,0.8306292499999998,,,,,
14,36031,2444,388,95.2,-189.63480539,0.8288527500000004,,,,,
14,36420,2454,392,95.4,-194.89041589,0.8270050000000005,,,,,
14,36775,2460,396,95.42,-199.64395994000003,0.82531875,,,,,
15,37123,2465,400,94.63,-199.40225301,0.82366575,,,,,
15,37528,2476,404,94.67,-201.33905626000004,0.821742,,,,,
21,40767,1895,408,123.48,-203.07381728000001,0.8063567500000001,,,,,
21,41159,1895,412,123.85,-197.59902069,0.8044947500000003,,,,,
21,41553,1901,416,124.41,-195.18668649,0.8026232500000002,,,,,
21,41966,1908,420,124.93,-196.43156874999997,0.8006615000000002,,,,,
22,42334,1912,424,124.59,-199.93624016,0.7989134999999996,,,,,
22,42689,1913,428,124.24,-200.31441550999998,0.7972272500000002,,,,,
22,43123,1919,432,124.47,-207.92400538,0.7951657499999999,,,,,
22,43468,1926,436,124.32,-207.93275362,0.7935269999999998,,,,,
22,43802,1934,440,124.02,-205.01098345999998,0.7919405000000005,,,,,
22,44118,1938,444,123.31,-201.22897733000002,0.7904394999999995,,,,,
22,44416,1940,448,121.93,-203.11076444000003,0.789024,,,,,
23,44783,1946,452,121.95,-201.21112912,0.78728075,,,,,
23,45140,1954,456,121.79,-204.50705197,0.7855850000000002,,,,,
23,45439,1959,460,121.19,-203.50235425,0.78416475,,,,,
23,45874,1963,464,121.87,-201.61285554999998,0.7820985000000001,,,,,
23,46264,1967,468,121.67,-201.53668565999996,0.7802459999999997,,,,,
23,46652,1975,472,121.66,-206.25144369999998,0.7784030000000004,,,,,
23,46964,1980,476,120.76,-206.37493694,0.776921,,,,,
23,47299,1987,480,120.29,-207.54371503000002,0.7753297500000002,,,,,
23,47613,1991,484,119.56,-214.21561569999997,0.7738382500000005,,,,,
24,47954,1997,488,119.23,-211.94711103999998,0.7722184999999997,,,,,
24,48317,2004,492,118.97,-205.22871490999995,0.7704942500000003,,,,,
24,48702,2012,496,119.27,-200.95184942,0.7686654999999999,,,,,
24,49118,2020,500,119.95,-199.49375847000002,0.7666895,,,,,
24,49500,2027,504,119.72,-197.40022857,0.7648749999999995,,,,,
24,49855,2034,508,90.88,-198.09525978000002,0.7631887500000001,,,,,
24,50216,2028,512,90.57,-207.10982604999998,0.7614739999999999,0.0001,4.6435699462890625,53,,
25,50573,2013,516,90.2,-213.74882884,0.7597782500000001,0.0001,4.554056644439697,143,,
25,51099,1992,520,91.33,-219.54332101,0.7572797499999999,0.0001,2.5015902519226074,274,,
26,51624,1962,524,92.9,-223.15805827,0.7547860000000005,0.0001,7.059789657592773,405,,
27,52125,1924,528,94.36,-227.35606708,0.7524062500000002,0.0001,4.239655017852783,531,,
27,52517,1909,532,93.94,-222.88463917,0.7505442500000004,0.0001,4.294712066650391,629,,
27,52914,1891,536,94.46,-228.38172569000002,0.7486585000000006,0.0001,0.9714920520782471,728,,
28,53478,1851,540,96.76,-234.67768347,0.7459795000000005,0.0001,4.152210235595703,869,,
29,53996,1829,544,98.78,-239.21463391,0.7435190000000004,0.0001,4.541197299957275,998,,
30,54449,1806,548,100.33,-237.47214449000003,0.7413672500000001,0.0001,1.816904902458191,1112,,
30,55022,1784,552,102.39,-245.77999225,0.7386455000000005,0.0001,1.0206235647201538,1255,,
31,55470,1762,556,103.3,-244.24056657999998,0.7365175000000005,0.0001,1.619272232055664,1367,,
32,55929,1741,560,104.9,-250.63730682000002,0.7343372500000005,0.0001,1.9808075428009033,1482,,
42,56387,1335,564,105.13,-251.05315616,0.7321617500000002,0.0001,0.8449563980102539,1596,,
43,56947,1316,568,106.83,-249.63669812,0.7295017499999996,0.0001,0.9118458032608032,1736,,
44,57500,1302,572,108.48,-245.04756541999996,0.7268749999999995,0.0001,3.8121604919433594,1874,,
44,57987,1288,576,110.23,-243.69136718000004,0.7245617499999999,0.0001,0.9765057563781738,1996,,
45,58416,1277,580,111.17,-240.30844077,0.7225239999999999,0.0001,7.291839122772217,2103,,
46,58997,1258,584,113.84,-237.33340356,0.7197642500000002,0.0001,1.2198573350906372,2249,,
47,59450,1241,588,114.96,-236.02424411000004,0.7176125,0.0001,4.8731865882873535,2362,,
48,59963,1236,592,116.46,-236.78928527,0.7151757500000001,0.0001,4.2048869132995605,2490,,
49,60578,1231,596,118.76,-235.76954159999997,0.7122544999999999,0.0001,3.688271999359131,2644,,
49,61124,1226,600,120.06,-239.21477405,0.7096610000000003,0.0001,4.033679008483887,2780,,
50,61518,1222,604,120.18,-238.64225339,0.7077895000000002,0.0001,7.5143561363220215,2879,,
50,62007,1219,608,121.52,-235.38863941,0.7054667500000005,0.0001,0.3748511075973511,3001,,
51,62523,1214,612,123.07,-228.78154361000006,0.7030157499999996,0.0001,0.7129619121551514,3130,,
51,62947,1212,616,123.74,-224.51347862,0.7010017499999996,0.0001,0.8774118423461914,3236,,
52,63410,1209,620,123.11,-213.85328669999998,0.6988025000000002,0.0001,0.5884923338890076,3352,,
53,63956,1194,624,123.32,-207.82082361000002,0.6962090000000005,0.0001,3.534433126449585,3488,,
54,64523,1188,628,123.98,-199.88285888,0.6935157500000007,0.0001,6.873405456542969,3630,,
54,64984,1185,632,124.67,-195.64347088000002,0.6913260000000003,0.0001,1.355916976928711,3745,,
55,65435,1180,636,125.21,-191.20547487,0.6891837500000004,0.0001,3.5467493534088135,3858,,
55,65845,1176,640,123.67,-183.4679972,0.6872362500000003,0.0001,2.9807024002075195,3961,,
56,66406,1173,644,124.1,-177.82796388000003,0.6845715000000001,0.0001,3.8283708095550537,4101,,
57,66857,1168,648,124.08,-177.19458071,0.6824292500000002,0.0001,0.7698286771774292,4214,,
57,67370,1165,652,123.48,-166.10687555999996,0.6799925000000003,0.0001,0.4808141887187958,4342,,
58,67842,1161,656,123.72,-162.39257306,0.6777505000000001,0.0001,0.5814271569252014,4460,,
59,68388,1149,660,124.59,-156.55895426999996,0.6751569999999995,0.0001,1.86189866065979,4596,,
60,68904,1137,664,125.17,-154.65787705,0.6727059999999997,0.0001,0.47647714614868164,4725,,
61,69378,1133,668,124.31,-154.03454662,0.6704545000000003,0.0001,0.7333667874336243,4844,,
62,70014,1128,672,125.14,-153.81632238,0.6674335,0.0001,1.4975649118423462,5003,,
63,70635,1116,676,126.48,-150.10512767999998,0.66448375,0.0001,1.1179921627044678,5158,,
64,71170,1109,680,127.54,-152.11973856999998,0.6619425000000003,0.0001,0.4162355363368988,5292,,
65,71829,1090,684,128.32,-147.69497439,0.6588122500000004,0.0001,2.564291000366211,5457,,
66,72326,1082,688,128.76,-146.67903081,0.6564515000000006,0.0001,0.632405161857605,5581,,
67,72969,1076,692,130.06,-142.11153242999998,0.6533972499999998,0.0001,0.875605046749115,5742,,
68,73456,1073,696,128.78,-143.4960034,0.6510840000000002,0.0001,0.8258309364318848,5863,,
69,73985,1070,700,128.61,-138.98741032,0.6485712500000003,0.0001,3.1620566844940186,5996,,
70,74639,1065,704,131.21,-137.26027143,0.6454647500000006,0.0001,0.5653384923934937,6159,,
71,75171,1055,708,131.64,-138.03068822,0.6429377499999995,0.0001,7.374573230743408,6292,,
72,75718,1051,712,131.95,-136.61290329000002,0.6403395000000003,0.0001,0.7046173214912415,6429,,
72,76302,1047,716,133.55,-132.8614739,0.6375654999999996,0.0001,1.3633719682693481,6575,,
73,76826,1045,720,134.16,-131.99248612999997,0.6350764999999998,0.0001,0.8753138780593872,6706,,
74,77349,1041,724,133.93,-131.31436485999998,0.6325922500000005,0.0001,1.845989465713501,6837,,
74,77945,1039,728,134.22,-130.72886637000002,0.6297612500000004,0.0001,0.420266330242157,6986,,
75,78487,1035,732,135.03,-129.92506569,0.6271867500000001,0.0001,3.3528547286987305,7121,,
76,78978,1030,736,135.43,-131.37215829,0.6248545000000001,0.0001,0.5503041744232178,7244,,
77,79556,1026,740,137.11,-131.02933861,0.6221090000000002,0.0001,0.638712465763092,7388,,
78,80062,1024,744,136.56,-131.72979781,0.6197054999999997,0.0001,1.0023231506347656,7515,,
79,80719,1020,748,138.62,-130.39489185,0.6165847500000001,0.0001,1.699967622756958,7679,,
79,81431,1019,752,140.61,-130.81342722999997,0.6132027499999999,0.0001,0.7160099744796753,7857,,
80,81929,1018,756,140.87,-131.62362685,0.6108372500000004,0.0001,0.40975305438041687,7982,,
80,82368,1016,760,139.8,-131.73423054000003,0.6087520000000001,0.0001,3.194565534591675,8091,,
90,85782,947,764,168.78,-131.49725085000003,0.5925354999999999,0.0001,3.959305763244629,8945,,
91,86426,943,768,170.48,-128.91356549,0.5894765000000006,0.0001,7.709580421447754,9106,,
93,87262,935,772,172.48,-126.66402758,0.5855055000000002,0.0001,0.8618364334106445,9315,,
95,87937,924,776,173.02,-128.71210682,0.5822992500000004,0.0001,0.8199775218963623,9484,,
95,88429,922,780,172.59,-126.63001048999999,0.5799622499999997,0.0001,0.5233546495437622,9607,,
96,88998,920,784,171.69,-127.74340090000001,0.5772595000000005,0.0001,0.6189939379692078,9749,,
97,89594,918,788,172.68,-129.83461996999998,0.5744285000000002,0.0001,1.3429603576660156,9898,,
100,90934,905,792,179.65,-128.96137226000002,0.5680634999999996,0.0001,1.032799243927002,10233,,
123,94389,762,796,209.33,-129.7661847,0.5516522499999998,0.0001,3.997709274291992,11097,,
124,94890,762,800,209.05,-130.47504696,0.5492725000000005,0.0001,4.459634304046631,11222,,
125,95680,762,804,210.41,-129.9386082,0.5455200000000001,0.0001,0.5525252223014832,11419,,
142,99093,696,808,239.22,-129.05295091,0.5293082499999995,0.0001,0.5120688080787659,12273,,
144,99803,691,812,240.85,-125.85158097000001,0.5259357499999997,0.0001,1.7228660583496094,12450,,
,100000,,,,,0.5250047500000004,0.0001,1.5669711828231812,12499,-519.2267643839062,3000.0
240,100708,418,816,244.06,-125.929767,0.5216369999999999,0.0001,0.5022929310798645,12676,,
241,101281,419,820,244.55,-124.28561821,0.5189152500000003,0.0001,0.9865766167640686,12820,,
